region,per capita,formal wage,child mortality,disabled 18_60,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,the poor: retired,the poor: employable,regional production,retail,income,subsidies,welfare,registered crimes,felonies,misdemeanors,killed,grievous harm,children %,orphanage,adopted %,pension,retired %,living wage
 Вологодская область,29522.0,42775.0,0.5515049541970461,4.897175571766885,50.1,6.1,544379.2,16.9,1.1,0.7072,91608.4,199.4,524.6,3.3,921.8877241058389,1160445.0,12.8,43.1,2.3,54.6,1339891.4705134667,182920,44902.85518046095,31281.905240713684,25938.67007915068,17314,597,3258,179,305,21.50950712873079,501,71.0,18249.48,26.0,12438.0
 Севастополь,29957.0,36300.0,0.3550295857988165,3.1092652120729385,90.0,25.4,295304.9,13.7,1.2,0.0,52350.6,146.8,367.3,23.4,940.6908344428662,449138.0,11.0,45.2,2.1,52.7,119197.87570857957,141383,28927.473081948086,95253.94596193152,17575.66716688412,6104,419,1045,29,98,19.10838094305091,22,70.0,17141.3,26.1,12201.0
 Владимирская область,25922.0,35240.0,0.6027667984189723,5.425054757288058,66.5,7.8,410443.6,16.1,0.2,0.153,94163.6,210.4,572.7,22.5,744.9853358617685,1358416.0,12.5,34.8,4.8,60.4,855888.0313099964,177680,30071.54223982933,20100.354853336536,17763.336120893746,17367,821,4098,209,228,18.484617377887187,407,74.0,17270.989999999998,28.8,11800.0
 Омская область,27354.0,37828.0,0.5898876404494382,4.79383857078731,29.9,7.7,398641.0,16.9,0.8,0.2718,85381.7,256.1,394.1,10.5,923.876231726844,1926665.0,13.6,38.8,5.1,56.2,969920.1983842546,185769,32772.18307936252,24540.00923622425,21188.478536746137,24491,1277,6183,234,357,21.65327132635928,544,86.0,16454.079999999998,24.8,10956.0
 Ульяновская область,24590.0,32504.0,0.4156195631161801,6.162547233333436,102.6,19.1,360112.2,17.9,1.0,0.3036,87077.9,253.1,372.1,0.0,841.2585865945045,1229824.0,15.0,38.4,3.1,58.5,530425.626626249,165299,34664.26423802918,20363.65463055689,19611.098823896755,12714,776,2639,158,220,18.468821554954204,379,76.0,16253.93,28.6,11088.0
 Самарская область,29893.0,38748.0,0.4645677732909266,4.678649043947486,49.4,12.1,505093.4,16.9,0.8,0.71,97537.6,325.3,446.7,5.6,880.0980773271035,3179532.0,12.3,36.9,9.5,53.6,973509.8581992568,213032,37484.7557649868,20896.021041448865,18777.669166405623,44328,3241,8160,308,382,19.368636642122176,795,72.0,17345.24,26.6,12151.0
 Республика Карелия,32583.0,46501.0,0.4423927678399693,5.344831846598631,78.1,5.1,522245.3,17.1,3.4,4.6805,112365.5,442.3,691.2,31.8,846.6544203861487,614064.0,15.1,39.0,3.0,58.1,799271.7489707913,226569,41437.4223066651,54510.85283553505,29729.963000599284,13444,536,2456,119,142,20.51577685713541,212,78.0,21533.92,26.8,15438.0
 Республика Бурятия,26092.0,41800.0,0.5467511885895404,6.306208545602693,48.9,3.4,307558.8,17.2,3.2,2.112,61456.1,80.3,235.3,3.3,1280.0006491286968,985937.0,19.9,41.7,3.7,54.6,357716.7791045472,199747,27828.670857712,58379.836234445,29904.34480093556,20635,486,4716,263,375,26.98417850227753,311,74.0,16739.91,19.7,12803.0
 Ямало-Ненецкий автономный округ,89928.0,111216.0,0.3525098702763677,2.2517714153184683,94.7,18.9,5072483.6,15.5,1.7,5.0091,118256.9,258.9,693.9,11.3,1302.613308255762,544444.0,4.8,51.0,0.7,48.4,10037067.118307851,263114,270615.6832196884,34439.947893704404,62633.07153720126,7623,432,1723,75,128,26.41116441727708,68,83.0,25796.8,11.8,17403.0
 Калининградская область,29518.0,36647.0,0.3769114796467801,4.1446969198162815,79.1,4.2,530036.9,15.6,1.9,0.0,82758.6,388.8,360.7,0.0,917.124932840302,1012512.0,13.5,29.1,6.1,64.8,1287553.9028278184,183286,43153.16419743173,79177.88846455154,17127.500711102683,13565,671,2707,111,138,19.70682816598717,331,60.0,16862.35,24.8,12943.0
